HID_Key_Name,HID_Key_ID
System Power Down,0x0081
System Sleep,0x0082
System Wake Up,0x0083
ErrorRollOver,0x0001
A,0x0004
B,0x0005
C,0x0006
D,0x0007
E,0x0008
F,0x0009
G,0x000A
H,0x000B
I,0x000C
J,0x000D
K,0x000E
L,0x000F
M,0x0010
N,0x0011
O,0x0012
P,0x0013
Q,0x0014
R,0x0015
S,0x0016
T,0x0017
U,0x0018
V,0x0019
W,0x001A
X,0x001B
Y,0x001C
Z,0x001D
1,0x001E
2,0x001F
3,0x0020
4,0x0021
5,0x0022
6,0x0023
7,0x0024
8,0x0025
9,0x0026
0,0x0027
Return Enter,0x0028
Escape,0x0029
Delete,0x002A
Tab,0x002B
Spacebar,0x002C
Dash and Underscore,0x002D
Equals and Plus,0x002E
Left Brace,0x002F
Right Brace,0x0030
Pipe and Slash,0x0031
Non-US,0x0032
SemiColon and Colon,0x0033
Apostrophe and Double Quotation Mark,0x0034
Grave Accent and Tilde,0x0035
Comma,0x0036
Period,0x0037
QuestionMark,0x0038
Caps Lock,0x0039
F1,0x003A
F2,0x003B
F3,0x003C
F4,0x003D
F5,0x003E
F6,0x003F
F7,0x0040
F8,0x0041
F9,0x0042
F10,0x0043
F11,0x0044
F12,0x0045
PrintScreen,0x0046
Scroll Lock,0x0047
Pause,0x0048
Insert,0x0049
Home,0x004A
PageUp,0x004B
Delete Forward,0x004C
End,0x004D
PageDown,0x004E
RightArrow,0x004F
LeftArrow,0x0050
DownArrow,0x0051
UpArrow,0x0052
Keypad Num Lock and Clear,0x0053
Keypad Forward Slash,0x0054
Keypad Star,0x0055
Keypad Dash,0x0056
Keypad Plus,0x0057
Keypad ENTER,0x0058
Keypad 1 and End,0x0059
Keypad 2 and Down Arrow,0x005A
Keypad 3 and PageDn,0x005B
Keypad 4 and Left Arrow,0x005C
Keypad 5,0x005D
Keypad 6 and Right Arrow,0x005E
Keypad 7 and Home,0x005F
Keypad 8 and Up Arrow,0x0060
Keypad 9 and PageUp,0x0061
Keypad 0 and Insert,0x0062
Keypad Period,0x0063
Non-US Slash Bar,0x0064
Application,0x0065
Power,0x0066
Keypad Equals,0x0067
F13,0x0068
F14,0x0069
F15,0x006A
F16,0x006B
F17,0x006C
F18,0x006D
F19,0x006E
F20,0x006F
F21,0x0070
F22,0x0071
F23,0x0072
F24,0x0073
Keypad Comma,0x0085
International1,0x0087
International2,0x0088
International3,0x0089
International4,0x008A
International5,0x008B
International6,0x008C
LANG1,0x0090
LANG2,0x0091
LANG3,0x0092
LANG4,0x0093
LANG5,0x0094
LeftControl,0x00E0
LeftShift,0x00E1
LeftAlt,0x00E2
Left GUI,0x00E3
RightControl,0x00E4
RightShift,0x00E5
RightAlt,0x00E6
Right GUI,0x00E7
Scan Next Track,0x00B5
Scan Previous Track,0x00B6
Stop,0x00B7
Play/Pause,0x00CD
Mute,0x00E2
Volume Increment,0x00E9
Volume Decrement,0x00EA
AL Consumer Control Configuration,0x0183
AL Email Reader,0x018A
AL Calculator,0x0192
AL Local Machine Browser,0x0194
AC Search,0x0221
AC Home,0x0223
AC Back,0x0224
AC Forward,0x0225
AC Stop,0x0226
AC Refresh,0x0227
AC Bookmarks,0x022A
Fn,0x00af