HID_Key_Name,HID_Key_ID,Byte_Offset,XORed_ID
A,0x04,0x73FDA,0x5E
B,0x05,0x7401E,0x5F
C,0x06,0x73FEC,0x5C
D,0x07,0x73FEA,0x5D
E,0x08,0x73FE6,0x52
F,0x09,0x7401A,0x53
G,0x0A,0x74012,0x50
H,0x0B,0x74022,0x51
I,0x0C,0x74036,0x56
J,0x0D,0x7402A,0x57
K,0x0E,0x7403A,0x54
L,0x0F,0x7404A,0x55
M,0x10,0x7402C,0x4A
N,0x11,0x7402E,0x4B
O,0x12,0x74046,0x48
P,0x13,0x74056,0x49
Q,0x14,0x73FD6,0x4E
R,0x15,0x74016,0x4F
S,0x16,0x73FFA,0x4C
T,0x17,0x74020,0x4D
U,0x18,0x74026,0x42
V,0x19,0x7401C,0x43
W,0x1A,0x73FF6,0x40
X,0x1B,0x73FFC,0x41
Y,0x1C,0x74030,0x46
Z,0x1D,0x73FDC,0x47
1,0x1E,0x73FD8,0x44
2,0x1F,0x73FF8,0x45
3,0x20,0x73FE8,0x7A
4,0x21,0x74018,0x7B
5,0x22,0x74014,0x78
6,0x23,0x74024,0x79
7,0x24,0x74028,0x7E
8,0x25,0x74038,0x7F
9,0x26,0x74048,0x7C
0,0x27,0x74058,0x7D
Return Enter,0x28,0x7407C,0x72
Escape,0x29,0x73FD2,0x73
Delete,0x2A,0x74080,0x70
Tab,0x2B,0x73FE0,0x71
Spacebar,0x2C,0x7407E,0x76
Dash and Underscore,0x2D,0x74054,0x77
Equals and Plus,0x2E,0x74034,0x74
Left Brace,0x2F,0x74060,0x75
Right Brace,0x30,0x74040,0x6A
Pipe and Slash,0x31,0x7407A,0x6B
Non-US Sharp and Tilde,0x32,0x7405C,0x68
SemiColon and Colon,0x33,0x7405A,0x69
Apostrophe and Double Quotation Mark,0x34,0x74052,0x6E
Grave Accent and Tilde,0x35,0x73FD4,0x6F
Comma,0x36,0x7403C,0x6C
Period,0x37,0x7404C,0x6D
QuestionMark,0x38,0x7405E,0x62
Caps Lock,0x39,0x74000,0x63
F1,0x3A,0x73FF4,0x60
F2,0x3B,0x73FE4,0x61
F3,0x3C,0x73FF0,0x66
F4,0x3D,0x73FE2,0x67
F5,0x3E,0x74072,0x64
F6,0x3F,0x74032,0x65
F7,0x40,0x74050,0x1A
F8,0x41,0x74044,0x1B
F9,0x42,0x74074,0x18
F10,0x43,0x74078,0x19
F11,0x44,0x74088,0x1E
F12,0x45,0x740A8,0x1F
PrintScreen,0x46,0x740CA,0x1C
Pause,0x48,0x740BC,0x12
Insert,0x49,0x740C8,0x13
Home,0x4A,0x74084,0x10
PageUp,0x4B,0x740CC,0x11
Delete Forward,0x4C,0x740C4,0x16
End,0x4D,0x740B8,0x17
PageDown,0x4E,0x740CE,0x14
RightArrow,0x4F,0x740AE,0x15
LeftArrow,0x50,0x740BE,0x0A
DownArrow,0x51,0x7408E,0x0B
UpArrow,0x52,0x740B2,0x08
Non-US Slash Bar,0x64,0x73FF2,0x3E
International1,0x87,0x7403E,0xDD
International2,0x88,0x7404E,0xD2
International3,0x89,0x74076,0xD3
International4,0x8A,0x74042,0xD0
International5,0x8B,0x73FDE,0xD1
LeftControl,0xE0,0x74004,0xBA
LeftShift,0xE1,0x74070,0xBB
LeftAlt,0xE2,0x74092,0xB8
Left GUI,0xE3,0x740B0,0xB9
RightControl,0xE4,0x7400C,0xBE
RightShift,0xE5,0x7406C,0xBF
RightAlt,0xE6,0x7409E,0xBC
Fn,0xAF,0x740BA,0xF5
ErrorRollOver,0x01,,0x5B
Scroll Lock,0x47,,0x1D
Keypad Num Lock and Clear,0x53,,0x09
Keypad Forward Slash,0x54,,0x0E
Keypad Star,0x55,,0x0F
Keypad Dash,0x56,,0x0C
Keypad Plus,0x57,,0x0D
Keypad ENTER,0x58,,0x02
Keypad 1 and End,0x59,,0x03
Keypad 2 and Down Arrow,0x5A,,0x00
Keypad 3 and PageDn,0x5B,,0x01
Keypad 4 and Left Arrow,0x5C,,0x06
Keypad 5,0x5D,,0x07
Keypad 6 and Right Arrow,0x5E,,0x04
Keypad 7 and Home,0x5F,,0x05
Keypad 8 and Up Arrow,0x60,,0x3A
Keypad 9 and PageUp,0x61,,0x3B
Keypad 0 and Insert,0x62,,0x38
Keypad Period,0x63,,0x39
Application,0x65,,0x3F
Power,0x66,,0x3C
Keypad Equals,0x67,,0x3D
F13,0x68,,0x32
F14,0x69,,0x33
F15,0x6A,,0x30
F16,0x6B,,0x31
F17,0x6C,,0x36
F18,0x6D,,0x37
F19,0x6E,,0x34
F20,0x6F,,0x35
F21,0x70,,0x2A
F22,0x71,,0x2B
F23,0x72,,0x28
F24,0x73,,0x29
Keypad Comma,0x85,,0xDF
International6,0x8C,,0xD6
LANG1,0x90,,0xCA
LANG2,0x91,,0xCB
LANG3,0x92,,0xC8
LANG4,0x93,,0xC9
LANG5,0x94,,0xCE
Right GUI,0xE7,,0xBD