Byte_Offset,XORed_ID,Usage Name
0x73fd0,0x5a,
0x73fd1,0x5a,
0x73fd2,0x73,ESCAPE
0x73fd3,0x5a,
0x73fd4,0x6f,Grave Accent and Tilde
0x73fd5,0x5a,
0x73fd6,0x4e,q and Q
0x73fd7,0x5a,
0x73fd8,0x44,1 and !
0x73fd9,0x5a,
0x73fda,0x5e,a and A
0x73fdb,0x5a,
0x73fdc,0x47,z and Z
0x73fdd,0x5a,
0x73fde,0xd1,International5
0x73fdf,0x5a,
0x73fe0,0x71,Tab
0x73fe1,0x5a,
0x73fe2,0x67,F4
0x73fe3,0x5a,
0x73fe4,0x61,F2
0x73fe5,0x5a,
0x73fe6,0x52,e and E
0x73fe7,0x5a,
0x73fe8,0x7a,3 and #
0x73fe9,0x5a,
0x73fea,0x5d,d and D
0x73feb,0x5a,
0x73fec,0x5c,c and C
0x73fed,0x5a,
0x73fee,0x5a,
0x73fef,0x5a,
0x73ff0,0x66,F3
0x73ff1,0x5a,
0x73ff2,0x3e,Non-US Slash Bar
0x73ff3,0x5a,
0x73ff4,0x60,F1
0x73ff5,0x5a,
0x73ff6,0x40,w and W
0x73ff7,0x5a,
0x73ff8,0x45,2 and @
0x73ff9,0x5a,
0x73ffa,0x4c,s and S
0x73ffb,0x5a,
0x73ffc,0x41,x and X
0x73ffd,0x5a,
0x73ffe,0x5a,
0x73fff,0x5a,
0x74000,0x63,Caps Lock
0x74001,0x5a,
0x74002,0x5a,
0x74003,0x5a,
0x74004,0xba,LeftControl
0x74005,0x5a,
0x74006,0x5a,
0x74007,0x5a,
0x74008,0x5a,
0x74009,0x5a,
0x7400a,0x5a,
0x7400b,0x5a,
0x7400c,0xbe,RightControl
0x7400d,0x5a,
0x7400e,0x5a,
0x7400f,0x5a,
0x74010,0x5a,
0x74011,0x5a,
0x74012,0x50,g and G
0x74013,0x5a,
0x74014,0x78,5 and %
0x74015,0x5a,
0x74016,0x4f,r and R
0x74017,0x5a,
0x74018,0x7b,4 and $
0x74019,0x5a,
0x7401a,0x53,f and F
0x7401b,0x5a,
0x7401c,0x43,v and V
0x7401d,0x5a,
0x7401e,0x5f,b and B
0x7401f,0x5a,
0x74020,0x4d,t and T
0x74021,0x5a,
0x74022,0x51,h and H
0x74023,0x5a,
0x74024,0x79,6 and ^
0x74025,0x5a,
0x74026,0x42,u and U
0x74027,0x5a,
0x74028,0x7e,7 and &
0x74029,0x5a,
0x7402a,0x57,j and J
0x7402b,0x5a,
0x7402c,0x4a,m and M
0x7402d,0x5a,
0x7402e,0x4b,n and N
0x7402f,0x5a,
0x74030,0x46,y and Y
0x74031,0x5a,
0x74032,0x65,F6
0x74033,0x5a,
0x74034,0x74,= and +
0x74035,0x5a,
0x74036,0x56,i and I
0x74037,0x5a,
0x74038,0x7f,8 and *
0x74039,0x5a,
0x7403a,0x54,k and K
0x7403b,0x5a,
0x7403c,0x6c,Comma and <
0x7403d,0x5a,
0x7403e,0xdd,International1
0x7403f,0x5a,
0x74040,0x6a,] and }
0x74041,0x5a,
0x74042,0xd0,International4
0x74043,0x5a,
0x74044,0x1b,F8
0x74045,0x5a,
0x74046,0x48,o and O
0x74047,0x5a,
0x74048,0x7c,9 and (
0x74049,0x5a,
0x7404a,0x55,l and L
0x7404b,0x5a,
0x7404c,0x6d,. and >
0x7404d,0x5a,
0x7404e,0xd2,International2
0x7404f,0x5a,
0x74050,0x1a,F7
0x74051,0x5a,
0x74052,0x6e,"' and """
0x74053,0x5a,
0x74054,0x77,- and Underscore
0x74055,0x5a,
0x74056,0x49,p and P
0x74057,0x5a,
0x74058,0x7d,0 and )
0x74059,0x5a,
0x7405a,0x69,; and :
0x7405b,0x5a,
0x7405c,0x68,Non-US # and ~
0x7405d,0x5a,
0x7405e,0x62,/ and ?
0x7405f,0x5a,
0x74060,0x75,[ and {
0x74061,0x5a,
0x74062,0x5a,
0x74063,0x5a,
0x74064,0x5a,
0x74065,0x5a,
0x74066,0x5a,
0x74067,0x5a,
0x74068,0x5a,
0x74069,0x5a,
0x7406a,0x5a,
0x7406b,0x5a,
0x7406c,0xbf,RightShift
0x7406d,0x5a,
0x7406e,0x5a,
0x7406f,0x5a,
0x74070,0xbb,LeftShift
0x74071,0x5a,
0x74072,0x64,F5
0x74073,0x5a,
0x74074,0x18,F9
0x74075,0x5a,
0x74076,0xd3,International3
0x74077,0x5a,
0x74078,0x19,F10
0x74079,0x5a,
0x7407a,0x6b,\ and |
0x7407b,0x5a,
0x7407c,0x72,Return (ENTER)
0x7407d,0x5a,
0x7407e,0x76,Spacebar
0x7407f,0x5a,
0x74080,0x70,DELETE (Backspace)
0x74081,0x5a,
0x74082,0x5a,
0x74083,0x5a,
0x74084,0x10,Home
0x74085,0x5a,
0x74086,0x5a,
0x74087,0x5a,
0x74088,0x1e,F11
0x74089,0x5a,
0x7408a,0x5a,
0x7408b,0x5a,
0x7408c,0x5a,
0x7408d,0x5a,
0x7408e,0xb,DownArrow
0x7408f,0x5a,
0x74090,0x5a,
0x74091,0x5a,
0x74092,0xb8,LeftAlt
0x74093,0x5a,
0x74094,0x8e,Keypad Memory Subtract
0x74095,0x5a,
0x74096,0x5a,
0x74097,0x5a,
0x74098,0x5a,
0x74099,0x5a,
0x7409a,0x5a,
0x7409b,0x5a,
0x7409c,0x5a,
0x7409d,0x5a,
0x7409e,0xbc,RightAlt
0x7409f,0x5a,
0x740a0,0x5a,
0x740a1,0x5a,
0x740a2,0x5a,
0x740a3,0x5a,
0x740a4,0x5a,
0x740a5,0x5a,
0x740a6,0x88,Keypad Memory Clear
0x740a7,0x5a,
0x740a8,0x1f,F12
0x740a9,0x5a,
0x740aa,0x5a,
0x740ab,0x5a,
0x740ac,0x5a,
0x740ad,0x5a,
0x740ae,0x15,RightArrow
0x740af,0x5a,
0x740b0,0xb9,Left GUI
0x740b1,0x5a,
0x740b2,0x8,UpArrow
0x740b3,0x5a,
0x740b4,0x5a,
0x740b5,0x5a,
0x740b6,0x5a,
0x740b7,0x5a,
0x740b8,0x17,End
0x740b9,0x5a,
0x740ba,0xf5,Fn
0x740bb,0x5a,
0x740bc,0x12,Pause
0x740bd,0x5a,
0x740be,0x0a,LeftArrow
0x740bf,0x5a,
0x740c0,0x8a,Keypad Memory Store
0x740c1,0x5a,
0x740c2,0x5a,
0x740c3,0x5a,
0x740c4,0x16,Delete Forward
0x740c5,0x5a,
0x740c6,0x5a,
0x740c7,0x5a,
0x740c8,0x13,Insert
0x740c9,0x5a,
0x740ca,0x1c,PrintScreen
0x740cb,0x5a,
0x740cc,0x11,PageUp
0x740cd,0x5a,
0x740ce,0x14,PageDown
0x740cf,0x5a,
0x740d0,0x5a,
0x740d1,0x5a,